query,n_rank1,n_rank2,n_rank3
미납요금 납부 가능일 문의,"('요금 납부일 확인 방법', 0.779)","('요금 납부일 변경 방법', 0.606)","('요금 수납 내역 확인 방법', 0.602)"
미납 문의할게,"('SKT 미납센터 연락처', 0.776)","('가산금', 0.701)","('과납', 0.673)"
미납문의할게,"('SKT 미납센터 연락처', 0.788)","('가산금', 0.696)","('과납', 0.653)"
데이터 자동선물 신청할래,"('가족 간 데이터 자동 선물하기', 0.701)","('가족 간 데이터 자동 선물 발송 시점', 0.547)","('T끼리 데이터 선물 조르기 방법', 0.487)"
로밍 요금제 한눈에 보기,"('로밍 요금 확인 시점', 0.562)","('T로밍 Biz 요금제', 0.473)","('B tv 요금제', 0.41)"
음성 잔여량 알려줘,"('일자별 잔여통화안내', 0.614)","('일자별 잔여통화안내 신청 방법', 0.507)","('baro 요금제 잔여량 확인', 0.5)"
요금 조회해줘,"('실시간 요금 상세 내역', 0.721)","('요금제문의', 0.694)","('자녀 요금 조회 방법', 0.495)"
콘텐츠 이용료 알려줘,"('콘텐츠 이용료 가능 대상', 0.551)","('콘텐츠 이용료 구매내역 확인 방법', 0.543)","('애플 콘텐츠 이용료', 0.451)"
미납요금,"('SKT 미납센터 연락처', 0.758)","('미납 이용정지', 0.697)","('가산금', 0.688)"
OnePass500 기간형,"('원패스 VIP 기간형', 0.752)","('원패스 기준 시간', 0.403)",
OnePass500 기본형,"('원패스 VIP 기본형', 0.829)","('표준 요금제', 0.527)","('베이직', 0.493)"
상담사,"('전화 상담사 연결', 0.859)","('SK텔레콤 고객센터 운영 시간', 0.663)","('타 통신사 고객센터', 0.465)"
선물받은 쿠폰 사용할래,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.657)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.522)",
상담원,"('전화 상담사 연결', 0.811)","('SK텔레콤 고객센터 운영 시간', 0.68)","('타 통신사 고객센터', 0.552)"
휴대폰결제,"('결제 관련', 0.748)","('휴대폰결제 이용동의 신청 방법', 0.649)","('휴대폰 결제 이용가능 대상', 0.649)"
콘텐츠 이용료 한도 변경 방법 알려줘,"('애플 콘텐츠 이용료 결제 이용 한도', 0.554)","('060정보료한도제 신청 방법', 0.426)","('휴대폰결제 이용 제한 해제 방법', 0.426)"
요금조회,"('실시간 요금 상세 내역', 0.69)","('요금제문의', 0.623)","('조회 관련', 0.468)"
로밍 안내 방송 서비스,"('자동안심 T로밍 음성', 0.465)","('T로밍 고객센터', 0.453)","('국제전화 알림 Biz 레터링', 0.448)"
데이터 로밍 차단해줘,"('데이터 로밍 차단 해지', 0.757)","('데이터 로밍 차단 시 통화 문자 이용', 0.7)","('데이터 로밍 차단 시 Wi-Fi 이용', 0.679)"
장기가입 쿠폰 사용할래,"('장기가입고객 할인제도', 0.608)","('T쿠폰 등록 방법', 0.434)","('데이터 리필하기 쿠폰 유효기간', 0.422)"
실시간요금,"('실시간 요금 상세 내역', 0.843)","('요금제문의', 0.508)","('최근 사용량 확인 방법', 0.412)"
납부가능일 등록,"('요금 납부일 변경 방법', 0.788)","('요금 납부일 확인 방법', 0.768)","('유선 요금 납부일 변경 방법', 0.489)"
미납문의,"('SKT 미납센터 연락처', 0.798)","('가산금', 0.693)","('미납 이용정지', 0.669)"
약정할인,"('요금약정 할인제도', 0.69)","('T지원금 약정', 0.569)","('데이터결합약정할인', 0.493)"
휴대폰결제대행사연락처,"('휴대폰 결제 대행사 연락처', 0.813)","('구글 Play 스토어 고객센터', 0.46)","('SK pay 고객센터', 0.446)"
청구서,"('요금안내서 변경 방법', 0.782)","('요금안내서 재발행 방법', 0.614)","('요금안내서 발행유형 자동 변경 해제 방법', 0.581)"
청구서문자,"('요금안내서 변경 방법', 0.68)","('MMS', 0.605)","('메시지 관련', 0.591)"
납부가능일등록,"('요금 납부일 확인 방법', 0.855)","('요금 납부일 변경 방법', 0.784)","('유선 요금 납부일 변경 방법', 0.489)"
