query,MTL_rank1,MTL_rank2,MTL_rank3
미납요금 납부 가능일 문의,"('요금 납부일 확인 방법', 0.797)","('요금 납부일 변경 방법', 0.628)","('요금 수납 내역 확인 방법', 0.559)"
미납 문의할게,"('SKT 미납센터 연락처', 0.726)","('미납 이용정지', 0.662)","('가산금', 0.659)"
미납문의할게,"('SKT 미납센터 연락처', 0.752)","('미납 이용정지', 0.652)","('가산금', 0.651)"
데이터 자동선물 신청할래,"('가족 간 데이터 자동 선물하기', 0.63)","('가족 간 데이터 자동 선물 발송 시점', 0.495)","('통신과금 자동 선결제 신청 방법', 0.46)"
로밍 요금제 한눈에 보기,"('로밍 요금 확인 시점', 0.542)","('T로밍 Biz 요금제', 0.539)","('요금제 추천', 0.434)"
음성 잔여량 알려줘,"('일자별 잔여통화안내', 0.541)","('자녀 데이터 사용량 조회 방법', 0.435)","('단말기 잔여 할부 조회 방법', 0.427)"
요금 조회해줘,"('실시간 요금 상세 내역', 0.729)","('요금제문의', 0.643)","('자녀 요금 조회 방법', 0.5)"
콘텐츠 이용료 알려줘,"('콘텐츠 이용료 구매내역 확인 방법', 0.577)","('콘텐츠 이용료 가능 대상', 0.508)","('애플 콘텐츠 이용료', 0.502)"
미납요금,"('SKT 미납센터 연락처', 0.698)","('미납 이용정지', 0.686)","('가산금', 0.65)"
OnePass500 기간형,"('원패스 VIP 기간형', 0.76)","('원패스 기준 시간', 0.475)","('원패스 옵션 변경', 0.44)"
OnePass500 기본형,"('원패스 VIP 기본형', 0.833)","('원패스 기준 시간', 0.507)","('표준 요금제', 0.498)"
상담사,"('전화 상담사 연결', 0.826)","('SK텔레콤 고객센터 운영 시간', 0.636)","('상담사 칭찬 방법', 0.455)"
선물받은 쿠폰 사용할래,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.638)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.526)",
상담원,"('전화 상담사 연결', 0.785)","('SK텔레콤 고객센터 운영 시간', 0.648)","('제조사 AS 센터 연락처', 0.526)"
휴대폰결제,"('결제 관련', 0.748)","('휴대폰결제 이용동의 신청 방법', 0.621)","('휴대폰결제 이용차단', 0.613)"
콘텐츠 이용료 한도 변경 방법 알려줘,"('애플 콘텐츠 이용료 결제 이용 한도', 0.555)","('휴대폰결제 이용 제한 해제 방법', 0.44)","('휴대폰 결제 이용 제한 방법', 0.435)"
요금조회,"('실시간 요금 상세 내역', 0.677)","('요금제문의', 0.614)","('조회 관련', 0.45)"
로밍 안내 방송 서비스,"('자동안심 T로밍 음성', 0.516)","('T로밍 고객센터', 0.457)","('국제전화 알림 Biz 레터링', 0.429)"
데이터 로밍 차단해줘,"('데이터 로밍 차단 해지', 0.735)","('데이터 로밍 차단 시 Wi-Fi 이용', 0.674)","('데이터 로밍 차단 시 통화 문자 이용', 0.671)"
장기가입 쿠폰 사용할래,"('장기가입고객 할인제도', 0.594)",,
실시간요금,"('실시간 요금 상세 내역', 0.828)","('요금제문의', 0.512)",
납부가능일 등록,"('요금 납부일 변경 방법', 0.765)","('요금 납부일 확인 방법', 0.726)","('유선 요금 납부일 변경 방법', 0.432)"
미납문의,"('SKT 미납센터 연락처', 0.76)","('미납 이용정지', 0.674)","('가산금', 0.653)"
약정할인,"('요금약정 할인제도', 0.682)","('T지원금 약정', 0.567)","('데이터결합약정할인', 0.557)"
휴대폰결제대행사연락처,"('휴대폰 결제 대행사 연락처', 0.83)","('구글 Play 스토어 고객센터', 0.493)","('SK pay 고객센터', 0.464)"
청구서,"('요금안내서 변경 방법', 0.75)","('요금안내서 재발행 방법', 0.561)","('요금안내서 발행유형 자동 변경 해제 방법', 0.533)"
청구서문자,"('요금안내서 변경 방법', 0.628)","('등기문자', 0.573)","('메시지 관련', 0.566)"
납부가능일등록,"('요금 납부일 확인 방법', 0.835)","('요금 납부일 변경 방법', 0.771)","('요금 수납 내역 확인 방법', 0.45)"
남은 약정 기간,"('단말기 잔여 할부 조회 방법', 0.574)","('연장 관련', 0.432)",
선택약정 연장,"('선택약정 할인제도 약정 기간 변경', 0.643)","('연장 관련', 0.537)","('선택약정 할인제도 해지 방법', 0.47)"
휴대폰결제 대행사 연락처,"('휴대폰 결제 대행사 연락처', 0.974)","('SK pay 고객센터', 0.433)","('구글 Play 스토어 고객센터', 0.431)"
데이터 잔여량,"('데이터 추가 사용 방법', 0.66)","('데이터 문의 관련', 0.649)","('일자별 잔여통화안내', 0.537)"
요금 조회,"('실시간 요금 상세 내역', 0.592)","('요금제문의', 0.531)","('조회 관련', 0.468)"
상담할래,"('채티 서비스', 0.693)","('전화 상담사 연결', 0.518)","('데이터 문의 관련', 0.456)"
약정재가입,"('선택약정 할인제도 재가입 조건', 0.626)","('번호이동 제도', 0.412)",
내입금전용계좌,,,
실시간,"('실시간 요금 상세 내역', 0.594)","('최근 사용량 확인 방법', 0.419)",
로밍 안내 방송 서비스 가입,"('T로밍 고객센터', 0.488)","('T로밍 도착알리미', 0.478)","('T로밍 콜키퍼', 0.426)"
아리아,"('NUGU 서비스', 0.553)","('T전화 음성명령 사용 방법', 0.515)","('NUGU 서비스 음성 인식 기능', 0.471)"
사이판,"('T괌사이판 옵션 변경', 0.58)","('T괌사이판 요금제 잔여량 확인', 0.55)",
11월요금,,,
납부 가능일 등록,"('요금 납부일 변경 방법', 0.791)","('요금 납부일 확인 방법', 0.753)","('유선 요금 납부일 변경 방법', 0.446)"
청구요금,"('실시간 요금 상세 내역', 0.542)","('요금 수납 내역 확인 방법', 0.517)","('요금 납부일 확인 방법', 0.493)"
휴대폰 결제,"('결제 관련', 0.807)","('법인 휴대폰 결제', 0.586)","('휴대폰 결제 이용가능 대상', 0.573)"
재약정,"('선택약정 할인제도 재가입 조건', 0.527)",,
이동전화 가입,"('이동전화 가입 (타사)', 0.825)","('신규가입 구비서류', 0.563)","('번호이동 제도', 0.529)"
가상계좌보내주세요,"('채팅플러스 계좌 송금 서비스', 0.415)",,
국제전화,"('국제전화 알림 Biz 레터링', 0.697)","('국제전화 사업자 선택', 0.608)","('국제전화 발신 금지', 0.554)"
약정할인신청,"('데이터결합약정할인 신청 방법', 0.446)","('요금약정 할인제도', 0.437)",
납부방법,"('요금 부분 납부 방법', 0.617)","('요금 수납 내역 확인 방법', 0.59)","('단말기 할부금 중도 납부 방법', 0.584)"
