intent_nm,ans_cont
자동안심T로밍음성,"'자동안심 T로밍 음성'에 대해 안내해 드릴게요.
자동안심 T로밍 음성은 로밍 중에 매일 음성통화를 3분 무료, 하루 30분(3분 무료 포함)까지 1만원으로 이용할 수 있는 서비스예요.
- 1만원 이후에는 국가별 초당 요금 과금(1일 기준: 한국 시각으로 00시~24시)
- 별도 신청 없이 로밍이 되면 자동으로 제공
※한중일패스/내집처럼중국(플러스) 가입자는 미적용

▶ '자동안심 T로밍 음성' 자세히 보기: http://naver.me/xKId7ADl (링크에 접속하면 데이터 차감됨)"
로밍통화요금,"'로밍 통화 요금'에 대해 안내해 드릴게요.
로밍 중에 이용하는 음성통화는 수/발신 모두 '1초 단위'로 요금이 과금되고, 국가에 따라 달라요.(국내 요금제 혜택은 로밍 중 미적용) 자세한 요금은 T월드 또는 T로밍 고객센터에서 확인이 가능해요.
ㅇ T월드 홈페이지: www.tworld.co.kr → 로밍 → 로밍 맞춤 조회
ㅇ T로밍 고객센터: 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
baroBox임대료,"'baro Box 임대료'에 대해 안내해 드릴게요.
baro Box 임대료는 한국 시각 기준으로 baro Box를 받으시는 날부터 반납하시는 날까지 매일 과금돼요. 국가별 임대료는 T월드 또는 T로밍 고객센터에서 확인이 가능해요.
ㅇ T월드 홈페이지: www.tworld.co.kr → 로밍 → baro Box/폰 임대 → 이용 안내 → baro Box 이용 방법/요금 안내
ㅇ T로밍 고객센터: 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)

baro Box 예약 방법이 궁금하시면 'baro Box 임대 예약'이라고 입력해 주세요."
T로밍청구내역서,"'T로밍 청구내역서 발급 방법'에 대해 안내해 드릴게요.
T로밍 청구내역서는 CV센터(구.지점) 또는 T로밍 고객센터를 통해 발급이 가능해요. T월드에서도 로밍 청구요금 상세내역 조회 및 인쇄가 가능해요.
ㅇ T로밍 고객센터: 02-6343-9000(SK텔레콤 휴대폰에서 무료)
ㅇ T월드 홈페이지: www.tworld.co.kr → my T → 나의 요금 → 청구 요금 내역 → 화면 하단 [로밍 청구요금 상세조회] → 기간 설정 후 조회(최근 6개월 확인 가능)

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
로밍중USIM변경,"'로밍 중 유심(USIM) 변경'에 대해 안내해 드릴게요.
로밍 중 해외 휴대폰에 SK텔레콤 유심을 사용할 수도 있고, SK텔레콤 휴대폰에 해외 유심을 사용할 수도 있어요. 다만, 휴대폰 보호서비스와 컨트리락이 해제되어 있어야 사용할 수 있어요. 해제 방법은 SK텔레콤 고객센터 또는 휴대폰 제조사로 문의해 주세요.
ㅇ 휴대폰 보호서비스 문의: SK텔레콤 고객센터(국번 없이 114 또는 080-011-6000)
ㅇ 컨트리락 문의: 휴대폰 제조사

※방문 국가에 따라 정상적인 통화 및 서비스가 제한될 수 있음"
로밍중전화발신방법,"'로밍 중 전화 발신 방법'에 대해 안내해 드릴게요.
ㅇ 안드로이드폰(오토다이얼 탑재)
[해외→한국] (국가번호 없이)전화번호 → 한국발신 선택
[해외→현지] (국가번호 없이)상대방 전화번호 → 기타발신 선택
[해외→T로밍 고객센터] 02-6343-9000 → 한국발신 선택(24시간 운영, SK텔레콤 휴대폰에서 무료)
ㅇ 아이폰, 안드로이드폰(오토다이얼 미탑재)
[해외→한국] 0길게(+생성)-82-맨앞 0빼고 나머지 전화번호 → 통화
[해외→현지] (국가번호 없이)상대방 전화번호 → 통화
[해외→T로밍 고객센터] 0번 길게(+생성)-82-2-6343-9000 → 통화(24시간 운영, SK텔레콤 휴대폰에서 무료)"
T로밍고객센터,"'T로밍 고객센터 문의 방법'에 대해 안내해 드릴게요.
T로밍 고객센터 전화번호는 02-6343-9000이에요. 국내에서도, 로밍 중에도 SK텔레콤 휴대폰에서 직접 전화주시면 24시간 무료로 로밍 상담이 가능해요. 전화가 어려우시면 채팅상담으로 문의해 주세요. 다만, 일부 업무는 제한될 수 있습니다.

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요.(해외에서 이용 시 건당 로밍 문자 요금 발생)"
데이터로밍차단시Wi-Fi이용,"'데이터 로밍 차단 시 와이파이(Wi-Fi) 이용'에 대해 안내해 드릴게요.
로밍 중에 현지 와이파이를 통해 앱이나 인터넷 사용이 가능해요. 다만, 스마트폰의 경우에는 사용을 안해도 자동 업데이트 등으로 데이터 로밍 요금이 발생할 수 있어요. 안전하게 데이터를 차단하고 필요한 앱은 와이파이에서 이용해 보세요.
와이파이만 이용을 원하시면 '데이터 로밍 차단 신청'이라고 입력해 주세요."
데이터로밍차단시통화문자이용,"'데이터 로밍 차단 시 음성통화와 문자 이용'에 대해 안내해 드릴게요.
로밍 중에 음성통화와 문자(SMS/MMS) 이용은 데이터 로밍 무조건 차단 서비스 가입 여부와 상관 없이 이용할 수 있어요. 다만, 휴대폰에서 직접 데이터 로밍 기능을 차단하면 MMS 수/발신을 이용할 수 없어요.
※스마트폰의 경우, MMS 이용을 위해 휴대폰에서 데이터 허용 시 사용을 안해도 자동 업데이트 등으로 데이터 로밍 요금 발생

MMS 외 다른 데이터 차단을 원하시면 '데이터 로밍 차단 신청'이라고 입력해 주세요."
T끼리데이터선물하기받은데이터사용방법,"'선물 받은 데이터를 사용하는 방법'에 대해 안내해 드릴게요.
선물 받은 데이터를 먼저 사용한 후에, 이용 중인 요금제의 기본 제공 데이터가 사용됩니다. 선물 받은 데이터를 다른 사람에게 다시 선물하거나 다른 번호와 공유하는 것은 안 되고, 해외에서도 사용할 수 없으니 선물 받은 데이터를 해당 월의 말일까지 아낌없이 사용해 주세요.(단, 테더링은 이용할 수 있음.)"
