query,n_rank1,n_rank2,n_rank3
미납요금 납부 가능일 문의,"('요금 납부일 확인 방법', 0.754)","('요금 납부일 변경 방법', 0.607)","('SKT 미납센터 연락처', 0.508)"
미납 문의할게,"('SKT 미납센터 연락처', 0.734)","('과납', 0.672)","('미납 이용정지', 0.664)"
미납문의할게,"('SKT 미납센터 연락처', 0.757)","('미납 이용정지', 0.654)","('과납', 0.634)"
데이터 자동선물 신청할래,"('가족 간 데이터 자동 선물하기', 0.621)","('T끼리 데이터 선물 조르기 방법', 0.574)","('가족 간 데이터 자동 선물 발송 시점', 0.544)"
로밍 요금제 한눈에 보기,"('로밍 요금 확인 시점', 0.535)","('T로밍 Biz 요금제', 0.512)","('원패스 제공 국가', 0.405)"
음성 잔여량 알려줘,"('일자별 잔여통화안내', 0.588)","('음성 관련', 0.492)","('자녀 데이터 사용량 조회 방법', 0.462)"
요금 조회해줘,"('실시간 요금 상세 내역', 0.713)","('요금제문의', 0.588)","('조회 관련', 0.497)"
콘텐츠 이용료 알려줘,"('콘텐츠 이용료 가능 대상', 0.592)","('콘텐츠 이용료 구매내역 확인 방법', 0.564)","('애플 콘텐츠 이용료', 0.558)"
미납요금,"('미납 이용정지', 0.736)","('SKT 미납센터 연락처', 0.72)","('과납', 0.651)"
OnePass500 기간형,"('원패스 VIP 기간형', 0.757)","('원패스 옵션 변경', 0.46)","('원패스 기준 시간', 0.454)"
OnePass500 기본형,"('원패스 VIP 기본형', 0.809)","('원패스 기준 시간', 0.525)","('베이직', 0.488)"
상담사,"('전화 상담사 연결', 0.822)","('SK텔레콤 고객센터 운영 시간', 0.61)","('채티 서비스', 0.534)"
선물받은 쿠폰 사용할래,"('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.577)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.543)",
상담원,"('전화 상담사 연결', 0.784)","('SK텔레콤 고객센터 운영 시간', 0.677)","('제조사 AS 센터 연락처', 0.489)"
휴대폰결제,"('결제 관련', 0.796)","('휴대폰 결제 이용가능 대상', 0.626)","('휴대폰결제 비밀번호', 0.593)"
콘텐츠 이용료 한도 변경 방법 알려줘,"('애플 콘텐츠 이용료 결제 이용 한도', 0.52)",,
요금조회,"('실시간 요금 상세 내역', 0.68)","('요금제문의', 0.578)","('조회 관련', 0.564)"
로밍 안내 방송 서비스,"('자동안심 T로밍 음성', 0.481)","('T로밍 도착알리미', 0.414)",
데이터 로밍 차단해줘,"('데이터 로밍 차단 시 Wi-Fi 이용', 0.729)","('데이터 로밍 차단 시 통화 문자 이용', 0.718)","('데이터 로밍 차단 해지', 0.636)"
장기가입 쿠폰 사용할래,"('장기가입고객 할인제도', 0.613)","('T쿠폰 등록 방법', 0.49)","('Wavve콘텐츠팩 연간 신청 방법', 0.449)"
실시간요금,"('실시간 요금 상세 내역', 0.86)","('요금제문의', 0.528)","('로밍 요금 확인 시점', 0.408)"
납부가능일 등록,"('요금 납부일 변경 방법', 0.76)","('요금 납부일 확인 방법', 0.718)","('유선 요금 납부일 변경 방법', 0.492)"
미납문의,"('SKT 미납센터 연락처', 0.719)","('미납 이용정지', 0.651)","('과납', 0.641)"
약정할인,"('요금약정 할인제도', 0.663)","('데이터결합약정할인', 0.579)","('T지원금 약정', 0.502)"
휴대폰결제대행사연락처,"('휴대폰 결제 대행사 연락처', 0.849)","('SK pay 고객센터', 0.472)","('Sk pay 가맹점 확인 방법', 0.445)"
청구서,"('요금안내서 변경 방법', 0.681)","('메시지 관련', 0.531)","('요금안내서 발행유형 자동 변경 해제 방법', 0.531)"
청구서문자,"('메시지 관련', 0.617)","('등기문자', 0.61)","('MMS', 0.609)"
납부가능일등록,"('요금 납부일 확인 방법', 0.833)","('요금 납부일 변경 방법', 0.767)","('휴대폰 개통일 확인 방법', 0.487)"
남은 약정 기간,"('단말기 잔여 할부 조회 방법', 0.525)","('연장 관련', 0.505)",
선택약정 연장,"('선택약정 할인제도 약정 기간 변경', 0.584)","('선택약정 할인제도 재가입 조건', 0.557)","('선택약정 할인제도 해지 방법', 0.538)"
휴대폰결제 대행사 연락처,"('휴대폰 결제 대행사 연락처', 0.982)","('SK pay 고객센터', 0.417)",
