query,n_rank1,n_rank2,n_rank3
미납요금 납부 가능일 문의,"('미납 이용정지', 0.606)","('요금 납부일 확인 방법', 0.569)","('SKT 미납센터 연락처', 0.569)"
미납 문의할게,"('SKT 미납센터 연락처', 0.799)","('미납 이용정지', 0.728)","('과납', 0.661)"
미납문의할게,"('SKT 미납센터 연락처', 0.794)","('미납 이용정지', 0.731)","('과납', 0.633)"
데이터 자동선물 신청할래,"('가족 간 데이터 자동 선물 발송 시점', 0.856)","('가족 간 데이터 자동 선물하기', 0.804)","('T끼리 데이터 선물하기 알림', 0.536)"
로밍 요금제 한눈에 보기,"('T로밍 카드', 0.561)","('T로밍 카드 종류', 0.561)","('로밍 일시 허용', 0.491)"
음성 잔여량 알려줘,"('일자별 잔여통화안내', 0.546)","('로밍 음성 사용량 SMS', 0.509)","('자녀 데이터 사용량 조회 방법', 0.468)"
요금 조회해줘,"('조회 관련', 0.702)","('실시간 요금 상세 내역', 0.701)","('자녀 요금 조회 방법', 0.643)"
콘텐츠 이용료 알려줘,"('앱스토어 결제 수단', 0.595)","('부가 사용 금액', 0.587)","('결제 관련', 0.578)"
미납요금,"('SKT 미납센터 연락처', 0.789)","('미납 이용정지', 0.763)","('과납', 0.661)"
OnePass500 기간형,"('T All케어플러스3 i파손50', 0.483)","('원패스 VIP 기간형', 0.47)","('T All케어플러스3 패밀리 i파손50', 0.461)"
OnePass500 기본형,"('원패스 VIP 기본형', 0.663)","('표준 요금제', 0.531)","('T_일반전화', 0.521)"
상담사,"('전화 상담사 연결', 0.935)","('SK텔레콤 고객센터 운영 시간', 0.686)","('제조사 AS 센터 연락처', 0.653)"
선물받은 쿠폰 사용할래,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.749)","('T멤버십 포인트 선물하기', 0.739)","('T로밍 카드 선물', 0.715)"
상담원,"('전화 상담사 연결', 0.868)","('제조사 AS 센터 연락처', 0.673)","('SK텔레콤 고객센터 운영 시간', 0.666)"
휴대폰결제,"('결제 관련', 0.93)","('앱스토어 결제 수단', 0.705)","('T로밍 카드 결제 수단', 0.646)"
콘텐츠 이용료 한도 변경 방법 알려줘,"('애플 콘텐츠 이용료 결제 이용 한도', 0.734)","('데이터통화료 상한제도', 0.677)","('060정보료 한도제', 0.64)"
요금조회,"('조회 관련', 0.694)","('실시간 요금 상세 내역', 0.692)","('자녀 요금 조회 방법', 0.64)"
로밍 안내 방송 서비스,"('T로밍 고객센터', 0.558)","('로밍 중 전화 발신 방법', 0.546)","('로밍 문자 요금', 0.545)"
데이터 로밍 차단해줘,"('데이터 로밍 차단 시 통화 문자 이용', 0.875)","('데이터 로밍 차단 시 Wi-Fi 이용', 0.812)","('데이터 로밍 차단 해지', 0.7)"
장기가입 쿠폰 사용할래,"('장기가입고객 할인제도', 0.891)","('장기 미사용 휴대폰 결제 차단', 0.771)","('장기일시정지', 0.752)"
실시간요금,"('실시간 요금 상세 내역', 0.874)","('B tv 실시간 채널', 0.685)","('B tv 실시간 TV 설정 방법', 0.605)"
납부가능일 등록,"('요금 납부일 확인 방법', 0.813)","('요금 납부일 변경 방법', 0.544)","('휴대폰 개통일 확인 방법', 0.542)"
미납문의,"('SKT 미납센터 연락처', 0.803)","('미납 이용정지', 0.755)","('과납', 0.632)"
약정할인,"('요금약정 할인제도', 0.867)","('데이터결합약정할인', 0.639)","('SK텔레콤 이용약관', 0.519)"
휴대폰결제대행사연락처,"('휴대폰 결제 대행사 연락처', 0.926)","('영업장 위치 확인', 0.554)","('Sk pay 가맹점 확인 방법', 0.549)"
청구서,"('이메일 상담', 0.683)","('각종업무구비서류', 0.679)","('메시지 관련', 0.639)"
청구서문자,"('문자메시지 서비스', 0.787)","('MMS', 0.771)","('메시지 관련', 0.766)"
납부가능일등록,"('요금 납부일 확인 방법', 0.832)","('요금 납부일 변경 방법', 0.576)","('자동납부번호 확인 방법', 0.513)"
남은 약정 기간,"('연장 관련', 0.587)","('일자별 잔여통화안내', 0.549)","('T데이터 쿠폰 등록 기간', 0.498)"
선택약정 연장,"('번호변경안내 서비스 연장 방법', 0.741)","('연장 관련', 0.739)","('법인 위임대리인 연장 신청 방법', 0.587)"
휴대폰결제 대행사 연락처,"('휴대폰 결제 대행사 연락처', 0.975)","('결제 관련', 0.575)","('앱스토어 결제 수단', 0.495)"
데이터 잔여량,"('자녀 데이터 사용량 조회 방법', 0.656)","('baro Box 잔여량 조회', 0.613)","('T로밍 데이터 잔여량 확인', 0.578)"
요금 조회,"('조회 관련', 0.71)","('실시간 요금 상세 내역', 0.679)","('자녀 요금 조회 방법', 0.656)"
상담할래,"('전화 상담사 연결', 0.846)","('퀵보이스', 0.791)","('퀵보이스 이용 방법', 0.725)"
약정재가입,"('선택약정 할인제도 재가입 조건', 0.749)","('유선 요금안내서 재발행 방법', 0.569)","('요금안내서 재발행 방법', 0.565)"
내입금전용계좌,,,
실시간,"('실시간 요금 상세 내역', 0.778)","('B tv 실시간 채널', 0.637)","('퀵보이스', 0.616)"
로밍 안내 방송 서비스 가입,"('T로밍 카드 등록 방법', 0.784)","('멜론 익스트리밍 신청 방법', 0.53)","('컬러링 서비스 신청 방법', 0.512)"
아리아,"('알버트AI', 0.59)","('알버트와 알버트AI 차이점', 0.555)","('A.', 0.551)"
사이판,"('T괌사이판 옵션 변경', 0.604)","('T괌사이판 요금제 잔여량 확인', 0.585)","('베이직', 0.433)"
11월요금,"('T전화 T114 이용 방법', 0.4)",,
납부 가능일 등록,"('요금 납부일 확인 방법', 0.835)","('요금 납부일 변경 방법', 0.559)","('휴대폰 개통일 확인 방법', 0.551)"
