,intent
0,자동안심T로밍음성
1,로밍통화요금
2,baroBox임대료
3,T로밍청구내역서
4,로밍중USIM변경
5,로밍중전화발신방법
6,T로밍고객센터
7,데이터로밍차단시Wi-Fi이용
8,데이터로밍차단시통화문자이용
9,T끼리데이터선물하기받은데이터사용방법
10,T끼리데이터선물하기취소
11,가족간데이터자동선물하기
12,T끼리데이터선물하기연령
13,T끼리데이터선물하기대상
14,T끼리데이터선물하기알림
15,가족간데이터자동선물발송시점
16,데이터리필하기사용방법
17,데이터리필하기쿠폰제공
18,데이터리필하기쿠폰취소
19,데이터리필하기쿠폰유효기간
20,데이터리필하기데이터공유가능여부
21,데이터리필하기mVoIP사용가능여부
22,데이터리필하기쿠폰과안심옵션중복사용
23,데이터리필하기문자통보
24,데이터리필하기선물받은리필쿠폰소멸
25,소리샘서비스비밀번호
26,T전화baro
27,미성년자로밍
28,VIP요금제프로그램
29,가족나눔데이터
30,세금계산서신청방법
31,단말보험가입방법
32,넘버플러스2신청방법
33,5G기기변경방법
34,개명개칭방법
35,군입대장기일시정지재신청방법
36,슬림
37,T전화통화녹음기능
38,PASS건강지키미해지방법
39,OK캐쉬백납부
40,상품권수납
41,데이터추가사용방법
42,로밍중mVoIP이용
43,baroBox임대
44,로밍중휴대폰분실신고
45,선불폰충전금액별이용기간
46,baroBox임대예약취소
47,baroBox임대예약방법
48,T건강습관XAIAVitality
49,T건강습관XAIAVitality이용방법
50,오토컬러링
51,Tworld장기미접속자동탈퇴 
52,ZEM이용방법
53,5G로밍가능국가
54,5G로밍가능휴대폰
55,T전화baro이용방법
56,baroBox옵션변경
57,분실안심990투플러스임대폰취소
58,장기일시정지직권해지
59,요금제변경가능일알림서비스
60,T로밍카드잔액조회
61,철회
62,가입정보조회
63,스팸문자
64,스미싱
65,Tworld문자보내기이용방법
66,미디어앤데이터팩신청방법
67,제조사AS센터연락처
68,콜키퍼
69,T플러스B인터넷해지방법
70,T플러스B인터넷
71,전화상담사연결
72,TLOGIN사용량SMS통보
73,컬러링서비스설정방법
74,HDVoice서비스이용방법
75,4G5G재난문자방송서비스
76,4G5G재난문자방송서비스차단방법
77,Tworld위젯설치방법
78,T멤버십열린멤버십
79,퀵보이스차단서비스
80,모션키
81,ZEM위치조회권한요청방법
82,비밀번호통화서비스해지방법
83,T안심콜
84,USIM카드구매방법
85,SK쉴더스모바일가드
