,index,query,query_cnt,p_rank1,p_rank2,p_rank3,n_rank_1,n_rank2,n_rank3
0,0,미납요금 납부 가능일 문의,49194,SKT미납센터연락처,미납이용정지,미납직권해지,요금납부일확인방법,SKT미납센터연락처,미납이용정지
1,1,미납 문의할게,27234,SKT해지미납센터연락처,SKT미납센터연락처,미납직권해지,SKT미납센터연락처,미납이용정지,과납
2,4,로밍 요금제 한눈에 보기,1125,로밍요금확인시점,로밍통화요금,로밍수신요금,,,
3,5,음성 잔여량 알려줘,1005,최근사용량확인방법,,,,,
4,6,요금 조회해줘,746,요금수납내역확인방법,요금부분납부방법,편의점요금납부,조회관련,실시간요금상세내역,자녀요금조회방법
5,7,콘텐츠 이용료 알려줘,667,콘텐츠이용료구매내역확인방법,콘텐츠이용료가능대상,콘텐츠이용료결제취소방법,부가사용금액,,
6,9,OnePass500 기간형,252,원패스제공국가,,,,,
7,10,OnePass500 기본형,223,원패스제공국가,,,원패스VIP기본형,,
8,11,상담사,198,SK텔레콤고객센터운영시간,전화상담사연결,타통신사고객센터,전화상담사연결,제조사AS센터연락처,SK텔레콤고객센터운영시간
9,12,선물받은 쿠폰 사용할래,188,데이터리필하기쿠폰유효기간,T데이터쿠폰잔액조회방법,데이터리필하기선물받은리필쿠폰소멸,T끼리데이터선물하기받은데이터사용방법,T끼리데이터선물조르기방법,T멤버십포인트선물하기
10,13,상담원,180,SK텔레콤고객센터운영시간,전화상담사연결,T멤버십구매상품(구.초콜릿)상담센터,전화상담사연결,제조사AS센터연락처,SK텔레콤고객센터운영시간
11,14,휴대폰결제,178,휴대폰결제이용가능대상,콘텐츠이용료가능대상,휴대폰결제이용동의신청방법,결제관련,앱스토어결제수단,T로밍카드결제수단
12,15,콘텐츠 이용료 한도 변경 방법 알려줘,172,콘텐츠이용료구매내역확인방법,콘텐츠이용료가능대상,콘텐츠이용료결제취소방법,데이터통화료상한제도,애플콘텐츠이용료결제이용한도,060정보료한도제
13,17,로밍 안내 방송 서비스,154,T로밍청구내역서,로밍한사람간통화요금,로밍중발신번호표시,T로밍고객센터,,
14,18,데이터 로밍 차단해줘,130,데이터로밍차단시Wi-Fi이용,데이터로밍차단시통화문자이용,데이터로밍차단해지,데이터로밍차단시통화문자이용,데이터로밍차단시Wi-Fi이용,데이터로밍차단해지
15,19,장기가입 쿠폰 사용할래,116,T데이터쿠폰사용기간,T데이터쿠폰등록기간,T데이터쿠폰등록방법,장기가입고객할인제도,유선장기일시정지,장기미사용휴대폰결제차단
16,25,청구서,52,요금안내서재발행방법,요금안내서변경방법,요금안내서발행유형자동변경해제방법,각종업무구비서류,이용계약증명서발급방법,
17,26,청구서문자,51,요금안내서재발행방법,요금안내서변경방법,요금안내서발행유형자동변경해제방법,문자메시지서비스,MMS,메시지관련
18,28,남은 약정 기간,50,일자별잔여통화안내신청방법,일자별잔여통화안내,,,,
19,29,선택약정 연장,44,선택약정할인제도만료문자발송시기,선택약정할인제도약정기간변경,선택약정할인제도가입조건,연장관련,번호변경안내서비스연장방법,선택약정할인제도약정기간변경
20,31,데이터 잔여량,39,최근사용량확인방법,T로밍데이터잔여량확인,,baro요금제잔여량확인,baroBox잔여량조회,자녀데이터사용량조회방법
21,32,요금 조회,38,실시간요금상세내역,요금수납내역확인방법,요금부분납부방법,조회관련,실시간요금상세내역,자녀요금조회방법
22,34,약정재가입,35,요금약정할인제도,,,선택약정할인제도재가입조건,,
23,35,내입금전용계좌,34,이용계약증명서발급방법,가입상담예약방법,이동전화가입제한,,,
24,37,로밍 안내 방송 서비스 가입,33,T로밍청구내역서,로밍한사람간통화요금,로밍중발신번호표시,T로밍카드등록방법,,
25,38,아리아,32,NUGU서비스음성인식기능,BtvAI셋톱박스음성인식불가조치방법,소리샘서비스비밀번호,알버트AI,,
26,40,11월요금,24,요금납부일확인방법,,,,,
27,42,청구요금,24,요금안내서재발행방법,,,,,
28,43,휴대폰 결제,22,휴대폰결제이용가능대상,휴대폰결제이용동의신청방법,자동휴대폰결제차단방법,결제관련,앱스토어결제수단,T로밍카드결제수단
29,44,재약정,22,요금약정할인제도,,,선택약정할인제도재가입조건,,
30,45,이동전화 가입,22,이용계약증명서발급방법,가입상담예약방법,이동전화가입제한,휴대폰개통일확인방법,신규가입구비서류,개통관련
31,46,가상계좌보내주세요,20,차상위계층한부모가족복지할인제도,,,채팅플러스계좌송금서비스,,
32,48,약정할인신청,20,요금약정할인제도,,,데이터결합약정할인신청방법,요금약정할인제도,
33,49,납부방법,20,요금부분납부방법,요금수납내역확인방법,기타요금,결제관련,편의점요금납부,단말기할부금중도납부방법
34,51,선물 받은 쿠폰,18,데이터리필하기선물받은리필쿠폰소멸,데이터리필하기쿠폰유효기간,데이터리필하기쿠폰사용내역확인방법,T끼리데이터선물조르기방법,T끼리데이터선물하기받은데이터사용방법,T로밍카드선물
35,53,번호도용,18,번호이동제도,번호도용문자차단신청방법,번호도용문자차단,명의도용,번호도용문자차단,
36,54,당월요금,18,부가사용금액,과납,요금납부일확인방법,,,
37,55,계좌번호 주세요,17,SK텔레콤고객센터운영시간,전화상담사연결,타통신사고객센터,,,
38,56,데이터 쿠폰,16,T데이터쿠폰사용기간,T데이터쿠폰등록기간,T데이터쿠폰등록방법,Btv쿠폰,T쿠폰,
