,query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3
0,미납요금 납부 가능일 문의,"('요금납부일확인방법', 0.493)","('SKT미납센터연락처', 0.452)","('미납이용정지', 0.451)",49194,SKT미납센터연락처(0.4809759),미납이용정지(0.457217725),미납직권해지(0.43127817)
1,미납 문의할게,"('SKT미납센터연락처', 0.605)","('미납이용정지', 0.545)","('과납', 0.523)",27234,SKT해지미납센터연락처(0.4995),SKT미납센터연락처(0.4940547),미납직권해지(0.4642235)
2,미납문의할게,"('SKT미납센터연락처', 0.601)","('미납이용정지', 0.552)","('과납', 0.502)",1616,SKT미납센터연락처(0.49495625),미납직권해지(0.463400065),미납이용정지(0.4573068)
3,데이터 자동선물 신청할래,"('가족간데이터자동선물하기', 0.715)","('가족간데이터자동선물발송시점', 0.675)","('T끼리데이터선물하기알림', 0.456)",1315,가족간데이터자동선물하기(0.48386545),T끼리데이터선물하기비용(0.48172125),T끼리데이터선물하기대상(0.4792024)
4,로밍 요금제 한눈에 보기,,,,1125,로밍요금확인시점(0.49537815),로밍통화요금(0.49452138),로밍수신요금(0.4935397)
5,음성 잔여량 알려줘,,,,1005,"최근사용량확인방법(0.909189)
",,
6,요금 조회해줘,"('조회관련', 0.546)","('실시간요금상세내역', 0.545)","('자녀요금조회방법', 0.476)",746,요금수납내역확인방법(0.4455072),요금부분납부방법(0.439367235),편의점요금납부(0.4299551)
7,콘텐츠 이용료 알려줘,"('부가사용금액', 0.454)",,,667,콘텐츠이용료구매내역확인방법(0.49301135),콘텐츠이용료가능대상(0.4777176),콘텐츠이용료결제취소방법(0.4350707)
8,미납요금,"('SKT미납센터연락처', 0.562)","('미납이용정지', 0.557)","('과납', 0.52)",523,SKT미납센터연락처(0.493216635),미납이용정지(0.46189425),미납직권해지(0.45047655)
9,OnePass500 기간형,,,,252,"원패스제공국가(0.8358939)
",,
10,OnePass500 기본형,"('원패스VIP기본형', 0.584)",,,223,"원패스제공국가(0.83990383)
",,
11,상담사,"('전화상담사연결', 0.618)","('제조사AS센터연락처', 0.51)","('SK텔레콤고객센터운영시간', 0.497)",198,SK텔레콤고객센터운영시간(0.48887068),전화상담사연결(0.487520725),타통신사고객센터(0.46931252)
12,선물받은 쿠폰 사용할래,"('T끼리데이터선물하기받은데이터사용방법', 0.62)","('T끼리데이터선물조르기방법', 0.592)","('T멤버십포인트선물하기', 0.579)",188,데이터리필하기쿠폰유효기간(0.45518923),T데이터쿠폰잔액조회방법(0.447236715),데이터리필하기선물받은리필쿠폰소멸(0.44518918)
13,상담원,"('전화상담사연결', 0.563)","('제조사AS센터연락처', 0.518)","('SK텔레콤고객센터운영시간', 0.487)",180,SK텔레콤고객센터운영시간(0.47747425),전화상담사연결(0.47495485),T멤버십구매상품(구.초콜릿)상담센터(0.462402225)
14,휴대폰결제,"('결제관련', 0.717)","('앱스토어결제수단', 0.592)","('T로밍카드결제수단', 0.575)",178,휴대폰결제이용가능대상(0.4618947),콘텐츠이용료가능대상(0.4303121),휴대폰결제이용동의신청방법(0.413116635)
15,콘텐츠 이용료 한도 변경 방법 알려줘,"('데이터통화료상한제도', 0.612)","('애플콘텐츠이용료결제이용한도', 0.605)","('060정보료한도제', 0.535)",172,콘텐츠이용료구매내역확인방법(0.47414995),콘텐츠이용료가능대상(0.45116213),콘텐츠이용료결제취소방법(0.4462116)
