query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3,f_rank1,f_rank2,f_rank3
미납요금 납부 가능일 문의,"('SKT 미납센터 연락처', 0.884)","('미납 이용정지', 0.874)","('과납', 0.858)",49194,SKT미납센터연락처(0.4809759),미납이용정지(0.457217725),미납직권해지(0.43127817),"('요금 납부일 확인 방법', 0.754)","('요금 납부일 변경 방법', 0.607)","('SKT 미납센터 연락처', 0.508)"
미납 문의할게,"('SKT 미납센터 연락처', 0.97)","('미납 이용정지', 0.935)","('과납', 0.881)",27234,SKT해지미납센터연락처(0.4995),SKT미납센터연락처(0.4940547),미납직권해지(0.4642235),"('SKT 미납센터 연락처', 0.734)","('과납', 0.672)","('미납 이용정지', 0.664)"
미납문의할게,"('SKT 미납센터 연락처', 0.956)","('미납 이용정지', 0.903)","('과납', 0.9)",1616,SKT미납센터연락처(0.49495625),미납직권해지(0.463400065),미납이용정지(0.4573068),"('SKT 미납센터 연락처', 0.757)","('미납 이용정지', 0.654)","('과납', 0.634)"
데이터 자동선물 신청할래,"('자동연결 유료 서비스', 0.989)","('자동연결 유료 서비스 신청 방법', 0.988)","('가족 간 데이터 자동 선물 발송 시점', 0.988)",1315,가족간데이터자동선물하기(0.48386545),T끼리데이터선물하기비용(0.48172125),T끼리데이터선물하기대상(0.4792024),"('가족 간 데이터 자동 선물하기', 0.621)","('T끼리 데이터 선물 조르기 방법', 0.574)","('가족 간 데이터 자동 선물 발송 시점', 0.544)"
로밍 요금제 한눈에 보기,"('B tv 요금제', 0.938)","('요금제문의', 0.932)","('유선 인터넷 요금제', 0.931)",1125,로밍요금확인시점(0.49537815),로밍통화요금(0.49452138),로밍수신요금(0.4935397),"('로밍 요금 확인 시점', 0.535)","('T로밍 Biz 요금제', 0.512)","('원패스 제공 국가', 0.405)"
음성 잔여량 알려줘,"('법인폰 요금제 잔여량 조회 방법', 0.666)","('SKT 미납센터 연락처', 0.659)","('미납 이용정지', 0.659)",1005,"최근사용량확인방법(0.909189)
",,,"('일자별 잔여통화안내', 0.588)","('음성 관련', 0.492)","('자녀 데이터 사용량 조회 방법', 0.462)"
요금 조회해줘,"('실시간 요금 상세 내역', 0.859)","('요금 부분 납부 방법', 0.742)","('아파트청약케어', 0.683)",746,요금수납내역확인방법(0.4455072),요금부분납부방법(0.439367235),편의점요금납부(0.4299551),"('실시간 요금 상세 내역', 0.713)","('요금제문의', 0.588)","('조회 관련', 0.497)"
콘텐츠 이용료 알려줘,"('휴대폰결제 이용동의 신청 방법', 0.787)","('퀵보이스 이용 방법', 0.758)","('실시간 요금 상세 내역', 0.711)",667,콘텐츠이용료구매내역확인방법(0.49301135),콘텐츠이용료가능대상(0.4777176),콘텐츠이용료결제취소방법(0.4350707),"('콘텐츠 이용료 가능 대상', 0.592)","('콘텐츠 이용료 구매내역 확인 방법', 0.564)","('애플 콘텐츠 이용료', 0.558)"
미납요금,"('SKT 미납센터 연락처', 0.939)","('미납 이용정지', 0.92)","('과납', 0.897)",523,SKT미납센터연락처(0.493216635),미납이용정지(0.46189425),미납직권해지(0.45047655),"('미납 이용정지', 0.736)","('SKT 미납센터 연락처', 0.72)","('과납', 0.651)"
OnePass500 기간형,"('원패스 옵션 변경', 0.926)","('원패스 제공 국가', 0.917)","('PASS 프라임 서비스', 0.872)",252,"원패스제공국가(0.8358939)
",,,"('원패스 VIP 기간형', 0.757)","('원패스 옵션 변경', 0.46)","('원패스 기준 시간', 0.454)"
OnePass500 기본형,"('원패스 옵션 변경', 0.953)","('원패스 제공 국가', 0.939)","('프리미엄 패스1', 0.904)",223,"원패스제공국가(0.83990383)
",,,"('원패스 VIP 기본형', 0.809)","('원패스 기준 시간', 0.525)","('베이직', 0.488)"
상담사,"('전화 상담사 연결', 0.979)","('A.', 0.907)","('SK텔레콤 고객센터 운영 시간', 0.872)",198,SK텔레콤고객센터운영시간(0.48887068),전화상담사연결(0.487520725),타통신사고객센터(0.46931252),"('전화 상담사 연결', 0.822)","('SK텔레콤 고객센터 운영 시간', 0.61)","('채티 서비스', 0.534)"
선물받은 쿠폰 사용할래,"('T로밍 카드 선물', 0.973)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.966)","('T끼리 데이터 선물하기 비용', 0.949)",188,데이터리필하기쿠폰유효기간(0.45518923),T데이터쿠폰잔액조회방법(0.447236715),데이터리필하기선물받은리필쿠폰소멸(0.44518918),"('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.577)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.543)",
상담원,"('전화 상담사 연결', 0.93)","('T쿠폰 고객센터', 0.877)","('T로밍 고객센터', 0.872)",180,SK텔레콤고객센터운영시간(0.47747425),전화상담사연결(0.47495485),T멤버십구매상품(구.초콜릿)상담센터(0.462402225),"('전화 상담사 연결', 0.784)","('SK텔레콤 고객센터 운영 시간', 0.677)","('제조사 AS 센터 연락처', 0.489)"
휴대폰결제,"('결제 관련', 0.872)","('T쿠폰', 0.77)","('T로밍 카드 결제 수단', 0.769)",178,휴대폰결제이용가능대상(0.4618947),콘텐츠이용료가능대상(0.4303121),휴대폰결제이용동의신청방법(0.413116635),"('결제 관련', 0.796)","('휴대폰 결제 이용가능 대상', 0.626)","('휴대폰결제 비밀번호', 0.593)"
콘텐츠 이용료 한도 변경 방법 알려줘,"('애플 콘텐츠 이용료 결제 이용 한도', 0.976)","('법인 휴대폰 결제 이용 한도', 0.903)","('데이터통화료 상한제도', 0.579)",172,콘텐츠이용료구매내역확인방법(0.47414995),콘텐츠이용료가능대상(0.45116213),콘텐츠이용료결제취소방법(0.4462116),"('애플 콘텐츠 이용료 결제 이용 한도', 0.52)",,
요금조회,"('실시간 요금 상세 내역', 0.9)","('요금 부분 납부 방법', 0.743)","('아파트청약케어', 0.736)",169,실시간요금상세내역(0.495),세금계산서재발행방법(0.40275745),"세금계산서신청방법(0.40016547)
","('실시간 요금 상세 내역', 0.68)","('요금제문의', 0.578)","('조회 관련', 0.564)"
로밍 안내 방송 서비스,"('음성 관련', 0.648)","('T전화 음성으로 전화하기', 0.643)","('휴대폰 통화 목소리 울림 조치 방법', 0.64)",154,T로밍청구내역서(0.4681181),로밍한사람간통화요금(0.46580155),로밍중발신번호표시(0.4581771),"('자동안심 T로밍 음성', 0.481)","('T로밍 도착알리미', 0.414)",
데이터 로밍 차단해줘,"('데이터 로밍 차단 시 통화 문자 이용', 0.993)","('무선인터넷 차단 신청 방법', 0.991)","('무선인터넷 차단', 0.98)",130,데이터로밍차단시Wi-Fi이용(0.4927865),데이터로밍차단시통화문자이용(0.490883025),"데이터로밍차단해지(0.45999305)
","('데이터 로밍 차단 시 Wi-Fi 이용', 0.729)","('데이터 로밍 차단 시 통화 문자 이용', 0.718)","('데이터 로밍 차단 해지', 0.636)"
장기가입 쿠폰 사용할래,"('장기가입고객 할인제도', 0.989)","('장기 미사용 휴대폰 결제 차단', 0.917)","('휴대폰 결제 장기 미사용 차단 해제 방법', 0.906)",116,T데이터쿠폰사용기간(0.4642638),T데이터쿠폰등록기간(0.4612645),T데이터쿠폰등록방법(0.4611435),"('장기가입고객 할인제도', 0.613)","('T쿠폰 등록 방법', 0.49)","('Wavve콘텐츠팩 연간 신청 방법', 0.449)"
실시간요금,"('실시간 요금 상세 내역', 0.927)","('결제 관련', 0.788)","('예약 관련', 0.752)",106,실시간요금상세내역(0.489387185),"휴대폰결제연체가산금(0.40038655)
",,"('실시간 요금 상세 내역', 0.86)","('요금제문의', 0.528)","('로밍 요금 확인 시점', 0.408)"
납부가능일 등록,"('요금 납부일 변경 방법', 0.897)","('요금 납부일 확인 방법', 0.879)","('유선 요금 납부일 변경 방법', 0.854)",83,"요금납부일확인방법(0.9362654)
",,,"('요금 납부일 변경 방법', 0.76)","('요금 납부일 확인 방법', 0.718)","('유선 요금 납부일 변경 방법', 0.492)"
미납문의,"('SKT 미납센터 연락처', 0.964)","('미납 이용정지', 0.912)","('과납', 0.904)",76,SKT미납센터연락처(0.490670325),미납직권해지(0.4554266),미납이용정지(0.45397945),"('SKT 미납센터 연락처', 0.719)","('미납 이용정지', 0.651)","('과납', 0.641)"
약정할인,"('요금약정 할인제도', 0.958)","('선택약정 할인제도 가입 조건', 0.895)","('요금제문의', 0.872)",65,"요금약정할인제도(0.81837237)
",,,"('요금약정 할인제도', 0.663)","('데이터결합약정할인', 0.579)","('T지원금 약정', 0.502)"
휴대폰결제대행사연락처,"('휴대폰 결제 대행사 연락처', 0.875)","('개통 대리점 조회 방법', 0.81)","('전화 상담사 연결', 0.772)",54,휴대폰결제대행사연락처(0.44348305),"ONEstore고객센터(0.4128414)
",,"('휴대폰 결제 대행사 연락처', 0.849)","('SK pay 고객센터', 0.472)","('Sk pay 가맹점 확인 방법', 0.445)"
청구서,"('MMS', 0.914)","('메시지 관련', 0.913)","('유선 요금안내서', 0.912)",52,요금안내서재발행방법(0.45836135),요금안내서변경방법(0.44024135),"요금안내서발행유형자동변경해제방법(0.4208802)
","('요금안내서 변경 방법', 0.681)","('메시지 관련', 0.531)","('요금안내서 발행유형 자동 변경 해제 방법', 0.531)"
청구서문자,"('요금안내서 Bill Letter', 0.958)","('유선 요금안내서', 0.955)","('요금안내서 변경 방법', 0.952)",51,요금안내서재발행방법(0.46835667),요금안내서변경방법(0.44047117),요금안내서발행유형자동변경해제방법(0.42835292),"('메시지 관련', 0.617)","('등기문자', 0.61)","('MMS', 0.609)"
남은 약정 기간,"('일자별 잔여통화안내', 0.87)","('일자별 잔여통화안내 날짜 변경 방법', 0.869)","('일자별 잔여통화안내 신청 방법', 0.849)",50,일자별잔여통화안내신청방법(0.418598325),"일자별잔여통화안내(0.41407555)
",,"('단말기 잔여 할부 조회 방법', 0.525)","('연장 관련', 0.505)",
납부가능일등록,"('요금 납부일 변경 방법', 0.883)","('요금 납부일 확인 방법', 0.861)","('유선 요금 납부일 변경 방법', 0.838)",50,"요금납부일확인방법(0.95741105)
",,,"('요금 납부일 확인 방법', 0.833)","('요금 납부일 변경 방법', 0.767)","('휴대폰 개통일 확인 방법', 0.487)"
선택약정 연장,"('연장 관련', 0.866)","('선택약정 할인제도 약정 기간 변경', 0.77)","('T데이터 쿠폰 사용 기간', 0.762)",44,선택약정할인제도만료문자발송시기(0.481445075),선택약정할인제도약정기간변경(0.46971163),선택약정할인제도가입조건(0.458999365),"('선택약정 할인제도 약정 기간 변경', 0.584)","('선택약정 할인제도 재가입 조건', 0.557)","('선택약정 할인제도 해지 방법', 0.538)"
휴대폰결제 대행사 연락처,"('휴대폰 결제 대행사 연락처', 0.993)","('법인 위임대리인', 0.738)","('개통 대리점 조회 방법', 0.736)",40,휴대폰결제대행사연락처(0.4373969),"ONEstore고객센터(0.4111087)
",,"('휴대폰 결제 대행사 연락처', 0.982)","('SK pay 고객센터', 0.417)",
데이터 잔여량,"('baro 요금제 잔여량 확인', 0.985)","('T로밍 데이터 잔여량 확인', 0.979)","('원패스 잔여량 확인', 0.976)",39,최근사용량확인방법(0.4705245),"T로밍데이터잔여량확인(0.40135208)
",,"('일자별 잔여통화안내', 0.611)","('데이터 추가 사용 방법', 0.569)","('데이터 문의 관련', 0.555)"
요금 조회,"('실시간 요금 상세 내역', 0.838)","('조회 관련', 0.729)","('로밍 요금 확인 시점', 0.726)",38,실시간요금상세내역(0.495),요금수납내역확인방법(0.44551033),요금부분납부방법(0.43981115),"('조회 관련', 0.608)","('실시간 요금 상세 내역', 0.551)",
상담할래,"('전화 상담사 연결', 0.963)","('A.', 0.943)","('SK텔레콤 고객센터 운영 시간', 0.825)",36,전화상담사연결(0.483695625),SK텔레콤고객센터운영시간(0.47271485),타통신사고객센터(0.45431685),"('채티 서비스', 0.678)","('전화 상담사 연결', 0.579)","('데이터 문의 관련', 0.538)"
약정재가입,"('요금약정 할인제도', 0.794)","('휴대폰결제 이용동의 신청 방법', 0.772)","('가입상담 예약 방법', 0.766)",35,"요금약정할인제도(0.86275184)
",,,"('선택약정 할인제도 재가입 조건', 0.612)","('요금약정 할인제도', 0.489)","('선택약정 할인제도 약정 기간 변경', 0.465)"
실시간,"('실시간 요금 상세 내역', 0.776)","('퀵보이스', 0.775)","('A.', 0.67)",34,"실시간요금상세내역(0.88262516)
",,,"('실시간 요금 상세 내역', 0.645)","('위치 관련', 0.476)","('데이터 문의 관련', 0.451)"
내입금전용계좌,"('원패스 제공 국가', 0.548)","('PASS 프라임 서비스', 0.539)","('원패스 옵션 변경', 0.537)",34,이용계약증명서발급방법(0.4359459),가입상담예약방법(0.41235757),"이동전화가입제한(0.40727797)
","('단말기 할부금 중도 납부 방법', 0.418)",,
로밍 안내 방송 서비스 가입,"('T전화 음성으로 전화하기', 0.649)","('음성 관련', 0.635)","('휴대폰 통화 목소리 울림 조치 방법', 0.625)",33,T로밍청구내역서(0.46215035),로밍한사람간통화요금(0.4468312),로밍중발신번호표시(0.44058),"('T로밍 도착알리미', 0.461)",,
아리아,"('보이스뷰', 0.633)","('T통화매니저 앱', 0.592)","('헬로링 프로모션', 0.561)",32,NUGU서비스음성인식기능(0.44464493),BtvAI셋톱박스음성인식불가조치방법(0.433107525),소리샘서비스비밀번호(0.42994345),"('T전화 음성명령 사용 방법', 0.612)","('NUGU 서비스 음성 인식 기능', 0.439)","('NUGU 서비스 스마트홈 음성 명령', 0.421)"
사이판,"('T괌사이판 옵션 변경', 0.769)","('T괌사이판 요금제 잔여량 확인', 0.763)","('멜론 익스트리밍', 0.704)",30,T괌사이판요금제잔여량확인(0.47585705),0플랜스몰(0.47382105),0틴플랜스몰(0.470739575),"('T괌사이판 옵션 변경', 0.593)","('T괌사이판 요금제 잔여량 확인', 0.565)",
11월요금,"('NUGU 서비스 11번가 배송지 변경', 0.743)","('NUGU 서비스 11번가 결제 카드 변경', 0.682)","('T전화 T114업체 정보 변경', 0.549)",24,"요금납부일확인방법(0.8141656)
",,,"('요금 납부일 확인 방법', 0.41)",,
납부 가능일 등록,"('요금 납부일 변경 방법', 0.869)","('요금 납부일 확인 방법', 0.847)","('유선 요금 납부일 변경 방법', 0.82)",24,"요금납부일확인방법(0.9088591)
",,,"('요금 납부일 변경 방법', 0.766)","('요금 납부일 확인 방법', 0.764)","('유선 요금 납부일 변경 방법', 0.479)"
휴대폰 결제,"('결제 관련', 0.847)","('T쿠폰', 0.809)","('T로밍 카드 결제 수단', 0.795)",22,휴대폰결제이용가능대상(0.47476125),휴대폰결제이용동의신청방법(0.42489715),"자동휴대폰결제차단방법(0.41570065)
","('결제 관련', 0.837)","('휴대폰 결제 이용가능 대상', 0.613)","('법인 휴대폰 결제', 0.561)"
이동전화 가입,"('이동전화 가입 (타사)', 0.956)","('T전화', 0.941)","('타 통신사 고객센터', 0.941)",22,이용계약증명서발급방법(0.428034425),가입상담예약방법(0.4273559),"이동전화가입제한(0.422118365)
","('이동전화 가입 (타사)', 0.809)","('신규가입 구비서류', 0.633)","('개통 관련', 0.562)"
가상계좌보내주세요,"('공동인증서 등록 방법', 0.622)","('5GX스탠다드+다이렉트플랜', 0.593)","('휴대폰인증서서비스', 0.591)",20,"차상위계층한부모가족복지할인제도(0.8532174)
",,,"('채팅플러스 계좌 송금 서비스', 0.477)",,
약정할인신청,"('요금약정 할인제도', 0.955)","('선택약정 할인제도 가입 조건', 0.902)","('B tv 쿠폰', 0.868)",20,"요금약정할인제도(0.880974)
",,,"('요금약정 할인제도', 0.584)","('T지원금 약정', 0.507)","('데이터결합약정할인 신청 방법', 0.498)"
국제전화,"('국제전화 사업자 선택', 0.992)","('국제전화 청구 주기', 0.988)","('국제전화 발신 금지', 0.984)",20,국제전화알림Biz레터링(0.48891075),국제전화청구주기(0.47679603),국제전화사업자선택(0.4688006),"('국제전화 알림 Biz 레터링', 0.701)","('국제전화 청구 주기', 0.599)","('로밍 중 국제전화카드 사용', 0.576)"
미납 문의,"('SKT 미납센터 연락처', 0.969)","('미납 이용정지', 0.942)","('과납', 0.878)",18,SKT미납센터연락처(0.4934037),미납직권해지(0.461545465),SKT해지미납센터연락처(0.45551885),"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.668)","('과납', 0.659)"
계좌번호 주세요,"('NUGU 서비스 하나은행 금융 기능', 0.616)","('Sk pay 결제 방법', 0.612)","('Sk pay 가맹점 확인 방법', 0.608)",17,SK텔레콤고객센터운영시간(0.4328546),전화상담사연결(0.4131344),타통신사고객센터(0.4119381),"('자동납부번호 확인 방법', 0.472)",,
로밍서비스,"('B tv 선택', 0.936)","('T전화 baro 이용 방법', 0.933)","('B tv 월정액', 0.929)",16,T로밍청구내역서(0.46555832),로밍한사람간통화요금(0.4648729),로밍통화요금(0.457772285),"('T로밍 고객센터', 0.578)","('가족 로밍', 0.539)","('미성년자 로밍', 0.479)"
또 누구는 내가 너무 착하대,"('제조사 AS 센터 연락처', 0.626)","('집 전화기 파손/고장', 0.615)","('분실파손 200', 0.593)",16,NUGU디바이스적색등오류(0.4624182),NUGU서비스스마트폰연결방법(0.443110735),NUGU서비스앱디바이스연결실패조치방법(0.42151335),"('상담사 칭찬 방법', 0.438)",,
휴대폰 결제 문의 안내,"('결제 관련', 0.891)","('휴대폰결제 이용동의 신청 방법', 0.845)","('가입비', 0.803)",16,휴대폰결제이용가능대상(0.45891553),"휴대폰결제이용동의신청방법(0.410425575)
",,"('결제 관련', 0.757)","('휴대폰 결제 이용가능 대상', 0.564)","('휴대폰결제 이용동의 신청 방법', 0.524)"
세븐틴,"('0틴플랜 요금제', 0.817)","('0틴플랜 스몰', 0.816)","('0틴 5G 요금제', 0.815)",16,"SK세븐모바일(0.85761774)
",,,"('SK 세븐모바일', 0.444)","('ZEM', 0.426)","('0프로그램', 0.426)"
계좌번호 알려주세요,"('Sk pay 결제 방법', 0.62)","('Sk pay', 0.619)","('NUGU 서비스 하나은행 금융 기능', 0.616)",15,"SK텔레콤고객센터운영시간(0.8262572)
",,,"('자동납부번호 확인 방법', 0.488)",,
부재중전화,"('T_부재중안내', 0.955)","('유선 A/S 방문 일정', 0.792)","('제조사 AS 센터 연락처', 0.791)",14,T_부재중안내(0.479463725),T_통화중대기(0.46276215),통화중대기서비스신청방법(0.4581559),"('통화중대기 서비스', 0.632)","('T_부재중안내', 0.557)","('콜키퍼', 0.502)"
선택약정 신청,"('선택약정 할인제도 가입 조건', 0.974)","('유선 인터넷 요금제', 0.971)","('B tv 요금제', 0.968)",14,선택약정할인제도가입조건(0.48763868),선택약정할인제도만료문자발송시기(0.48624918),선택약정할인제도재가입조건(0.4836421),,,
미납요금조회,"('SKT 미납센터 연락처', 0.947)","('미납 이용정지', 0.916)","('과납', 0.898)",14,SKT미납센터연락처(0.4908876),미납이용정지(0.46607705),미납직권해지(0.442153335),"('SKT 미납센터 연락처', 0.757)","('미납 이용정지', 0.72)","('가산금', 0.509)"
소액결제한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.902)","('법인 휴대폰 결제 이용 한도', 0.8)","('데이터통화료 상한제도', 0.636)",14,휴대폰결제이용가능대상(0.48553115),휴대폰결제이용제한방법(0.4542064),자동휴대폰결제차단방법(0.45179093),"('법인 휴대폰 결제 이용 한도', 0.656)","('애플 콘텐츠 이용료 결제 이용 한도', 0.623)","('060정보료 한도제', 0.488)"
상담사좀 불러줘,"('전화 상담사 연결', 0.989)","('A.', 0.912)","('SK텔레콤 고객센터 운영 시간', 0.879)",13,전화상담사연결(0.48801985),SK텔레콤고객센터운영시간(0.48511532),ONEstore고객센터(0.466441425),"('전화 상담사 연결', 0.878)","('SK텔레콤 고객센터 운영 시간', 0.607)","('채티 서비스', 0.429)"
전화번호,"('전화 상담사 연결', 0.928)","('T쿠폰 고객센터', 0.883)","('전화 관련', 0.871)",12,전화상담사연결(0.47024185),타통신사고객센터(0.458288225),SK텔레콤고객센터운영시간(0.4570957),"('제조사 AS 센터 연락처', 0.621)","('전화 상담사 연결', 0.603)","('휴대폰 관련', 0.56)"
상담사 불러,"('전화 상담사 연결', 0.988)","('A.', 0.913)","('SK텔레콤 고객센터 운영 시간', 0.875)",12,SK텔레콤고객센터운영시간(0.4875289),전화상담사연결(0.48255557),타통신사고객센터(0.465821475),"('전화 상담사 연결', 0.818)","('SK텔레콤 고객센터 운영 시간', 0.615)","('가입상담 예약 방법', 0.419)"
약정할인 신청,"('요금약정 할인제도', 0.96)","('선택약정 할인제도 가입 조건', 0.915)","('B tv 쿠폰', 0.885)",12,"요금약정할인제도(0.900184)
",,,"('데이터결합약정할인 신청 방법', 0.421)",,
약정가입,"('선택약정 할인제도 가입 조건', 0.92)","('요금제문의', 0.908)","('요금약정 할인제도', 0.907)",12,"요금약정할인제도(0.89574057)
",,,"('요금약정 할인제도', 0.698)","('데이터결합약정할인 신청 방법', 0.536)","('선택약정 할인제도 가입 조건', 0.528)"
10월달요금,"('T나는 폰교체 10', 0.725)","('T 아이폰케어10', 0.681)","('New T 아이폰케어10', 0.649)",12,요금납부일확인방법(0.4279473),"과납(0.4163888)
",,"('요금 납부일 확인 방법', 0.481)","('실시간 요금 상세 내역', 0.409)","('요금 납부일 변경 방법', 0.404)"
콘텐츠 이용료,"('Wavve', 0.752)","('B tv', 0.666)","('B tv CJ ENM 월정액', 0.659)",12,콘텐츠이용료구매내역확인방법(0.491594225),콘텐츠이용료가능대상(0.47486368),콘텐츠이용료결제취소방법(0.4334792),"('콘텐츠 이용료 가능 대상', 0.661)","('애플 콘텐츠 이용료', 0.578)","('Wavve 콘텐츠 팩', 0.538)"
요금안내서,"('유선 요금안내서', 0.995)","('요금안내서 변경 방법', 0.992)","('요금안내서 Bill Letter', 0.976)",12,요금안내서변경방법(0.48988512),요금안내서발행유형자동변경해제방법(0.4791683),"요금안내서재발행방법(0.47465455)
","('요금안내서 변경 방법', 0.71)","('요금안내서 재발행 방법', 0.568)","('요금안내서 발행유형 자동 변경 해제 방법', 0.541)"
부탁드려요,"('A.', 0.909)","('전화 상담사 연결', 0.876)","('퀵보이스', 0.818)",11,"전화상담사연결(0.8071424)
",,,"('채티 서비스', 0.525)","('전화 상담사 연결', 0.518)","('메시지 관련', 0.495)"
요금청구서,"('요금안내서 변경 방법', 0.97)","('유선 요금안내서', 0.968)","('요금안내서 Bill Letter', 0.968)",11,요금안내서재발행방법(0.48229578),요금안내서변경방법(0.46403825),"요금안내서발행유형자동변경해제방법(0.445985675)
","('요금안내서 변경 방법', 0.681)","('요금안내서 재발행 방법', 0.654)","('요금안내서 발행유형 자동 변경 해제 방법', 0.535)"
휴대폰결제한도변경,"('애플 콘텐츠 이용료 결제 이용 한도', 0.917)","('법인 휴대폰 결제 이용 한도', 0.836)","('데이터통화료 상한제도', 0.607)",10,콘텐츠이용료가능대상(0.4067477),휴대폰결제이용동의신청방법(0.40388268),"휴대폰결제이용가능대상(0.40299973)
","('법인 휴대폰 결제 이용 한도', 0.552)","('애플 콘텐츠 이용료 결제 이용 한도', 0.488)",
